UK,Max Temp,8.0,DEC,2004
UK,Max Temp,7.44,WIN,1999
UK,Max Temp,12.44,SPR,1933
UK,Max Temp,19.33,SUM,1997
UK,Max Temp,13.43,AUT,1971
UK,Max Temp,7.4,JAN,2014
UK,Max Temp,8.0,FEB,1918
UK,Max Temp,9.9,MAR,2009
UK,Max Temp,12.6,APR,1912
UK,Max Temp,15.8,MAY,1922
UK,Max Temp,18.4,JUN,2009
UK,Max Temp,20.3,JUL,1935
UK,Max Temp,19.9,AUG,1937
UK,Max Temp,17.4,SEP,1934
UK,Max Temp,13.8,OCT,2009
UK,Max Temp,9.9,NOV,1986
UK,Max Temp,8.0,DEC,1998
UK,Max Temp,7.44,WIN,1925
UK,Max Temp,12.40,SPR,2004
UK,Max Temp,19.28,SUM,1935
UK,Max Temp,13.43,AUT,1921
UK,Max Temp,7.4,JAN,1949
UK,Max Temp,7.9,FEB,2017
UK,Max Temp,9.9,MAR,2000
UK,Max Temp,12.5,APR,1942
UK,Max Temp,15.7,MAY,2004
UK,Max Temp,18.3,JUN,1975
UK,Max Temp,20.1,JUL,1990
UK,Max Temp,19.8,AUG,2013
UK,Max Temp,17.3,SEP,2002
UK,Max Temp,13.8,OCT,1977
UK,Max Temp,9.8,NOV,1995
UK,Max Temp,7.9,DEC,1983
UK,Max Temp,7.40,WIN,1974
UK,Max Temp,12.40,SPR,1999
UK,Max Temp,19.26,SUM,2014
UK,Max Temp,13.34,AUT,1997
UK,Max Temp,7.4,JAN,1938
UK,Max Temp,7.9,FEB,1995
UK,Max Temp,9.9,MAR,1998
UK,Max Temp,12.3,APR,2004
UK,Max Temp,15.7,MAY,1953
UK,Max Temp,18.3,JUN,1934
UK,Max Temp,20.1,JUL,1959
UK,Max Temp,19.7,AUG,2016
UK,Max Temp,17.3,SEP,1921
UK,Max Temp,13.8,OCT,1947
UK,Max Temp,9.7,NOV,2004
UK,Max Temp,7.8,DEC,1997
UK,Max Temp,7.38,WIN,1932
UK,Max Temp,12.37,SPR,1992
UK,Max Temp,19.12,SUM,1921
UK,Max Temp,13.33,AUT,1913
UK,Max Temp,7.3,JAN,2016
UK,Max Temp,7.9,FEB,1992
UK,Max Temp,9.9,MAR,1943
UK,Max Temp,12.2,APR,2017
UK,Max Temp,15.7,MAY,1917
UK,Max Temp,18.2,JUN,2004
UK,Max Temp,20.1,JUL,1941
UK,Max Temp,19.7,AUG,2002
UK,Max Temp,17.3,SEP,1911
UK,Max Temp,13.7,OCT,2015
UK,Max Temp,9.7,NOV,1999
UK,Max Temp,7.7,DEC,2011
UK,Max Temp,7.36,WIN,1957
UK,Max Temp,12.37,SPR,1938
UK,Max Temp,19.07,SUM,2005
UK,Max Temp,13.26,AUT,2016
UK,Max Temp,7.2,JAN,2000
UK,Max Temp,7.8,FEB,2014
UK,Max Temp,9.8,MAR,2011
UK,Max Temp,12.2,APR,1999
UK,Max Temp,15.5,MAY,1999
UK,Max Temp,18.2,JUN,1959
UK,Max Temp,20.0,JUL,1991
UK,Max Temp,19.6,AUG,2000
